| relid  | schemaname          | relname                    | seq_scan | last_seq_scan                 | seq_tup_read | idx_scan | last_idx_scan                 | idx_tup_fetch | n_tup_ins | n_tup_upd | n_tup_del | n_tup_hot_upd | n_tup_newpage_upd | n_live_tup | n_dead_tup | n_mod_since_analyze | n_ins_since_vacuum | last_vacuum | last_autovacuum               | last_analyze | last_autoanalyze              | vacuum_count | autovacuum_count | analyze_count | autoanalyze_count |
| 102180 | realtime            | messages_2026_01_17        | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 95069  | public              | amb_shops                  | 75063    | 2026-03-06 09:43:29.667395+00 | 200669912    | 19       | 2026-03-06 06:41:41.873659+00 | 17797         | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 16834  | auth                | sso_providers              | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 16727  | auth                | identities                 | 22       | 2026-03-06 07:10:48.0532+00   | 242          | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 60082  | public              | se_login_audit             | 1        | 2026-03-04 07:23:05.222383+00 | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 16876  | auth                | saml_relay_states          | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 16518  | auth                | instances                  | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 144609 | public              | kv_store_e446c708          | 5        | 2026-03-03 19:44:18.529521+00 | 5            | 57       | 2026-03-06 09:36:59.388081+00 | 47            | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 19331  | auth                | oauth_client_states        | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 152522 | public              | amb_sitewise               | 14       | 2026-03-06 06:41:42.587611+00 | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
